EAN,Descricao,Validade,Status,Setor,DataCadastro
7899420501531,VITA COLIN 30 SACHES,2027-08,ativo,MARCOS,2026-02-21
7896094928787,MARACUGINA KIDS 150ML MARACUJA,2027-07,ativo,MARCOS,2026-02-21
7896094929333,MULTIVIT BIOTONICO FONTOURA MORANGO 60CP MASTIG,2027-03,ativo,MARCOS,2026-02-21
7896685302095,QUITLIS SOL ORAL 150ML,2027-08,ativo,MARCOS,2026-02-21
7896658029806,COMBI AD 30ML FRAMBOESA,2027-11,ativo,MARCOS,2026-02-21
7898269961032,RENALVIT PLUS 60CPS,2027-04,ativo,MARCOS,2026-02-21
7898948648513,ANDRACTIV 30CPS,2027-10,ativo,MARCOS,2026-02-21
7898948648759,ANDRACTIV PEYRONIE 30CP,2027-06,ativo,MARCOS,2026-02-21
7896023713477,FITOVITAL 60CPS CATARINENSE,2027-09,ativo,MARCOS,2026-02-21
7896677700281,FORTEVIRON 250MG 60CP,2028-03,ativo,MARCOS,2026-02-21
7896004717999,GEROVITAL 60CPS,2027-03,ativo,MARCOS,2026-02-21
7896004815077,NATUS GERIN 50CPS,2027-06,ativo,MARCOS,2026-02-21
7891317030087,LA IMMUNITA SOL SABOR UVA 150ML,2027-01,ativo,MARCOS,2026-02-21
7894916509985,NEUTROFER POLI 30ML,2027-02,ativo,MARCOS,2026-02-21
7896658049866,SANY D IMUNE KIDS SUSP 120ML MORANGO,2027-05,ativo,MARCOS,2026-02-21
7891142207388,ADDERA + IMUNIDADE KIDS 600UI 75ML UVA,2027-09,ativo,MARCOS,2026-02-21
7898430194849,PURAVIT IMUNE SUSP ORAL 75ML MACA VERDE,2027-06,ativo,MARCOS,2026-02-21
7898430194979,PURAVIT A D Z 10ML GOTAS,2027-08,ativo,MARCOS,2026-02-21
7898430194702,"UNIZINCO PRE 0,5MG/ML GOTAS 10ML",2027-09,ativo,MARCOS,2026-02-21
7898495609340,GROW VIT 240ML LARANJA,2027-04,ativo,MARCOS,2026-02-21
7898495609739,GROW ZINCO 100ML GUARANA,2027-09,ativo,MARCOS,2026-02-21
7896658039959,BIOZINC GTS 10MG 15ML S/ SABOR,2027-08,ativo,MARCOS,2026-02-21
7898956544081,NUTRINFAN 120ML,2026-07,ativo,MARCOS,2026-02-21
7896658027208,DAYVIT KIDS SUSP 120ML TUTTI FRUTTI,2026-11,ativo,MARCOS,2026-02-21
7896094926059,VITASAY A-Z MULHER 30CP,2026-11,ativo,MARCOS,2026-02-21
7896094926080,VITASAY A-Z HOMEM 30CP,2027-04,ativo,MARCOS,2026-02-21
7891317029982,QUELATUS 30CP,2027-07,ativo,MARCOS,2026-02-21
7891317030001,QUELATUS SENIOR 30CP,2027-07,ativo,MARCOS,2026-02-21
7891317029951,MAQ SENIOR 30CP,2027-07,ativo,MARCOS,2026-02-21
7891317029968,MAQ SENIOR 60CPS,2027-01,ativo,MARCOS,2026-02-21
7891106916509,REDOXON A-Z MULTIVIT 30CP,2026-08,ativo,MARCOS,2026-02-21
7891106916493,REDOXON A-Z MULTIVIT 60CP,2027-01,ativo,MARCOS,2026-02-21
7891106916592,REDOXON ENERGY 30CPS,2026-12,ativo,MARCOS,2026-02-21
7891106916608,REDOXON ENERGY 60CPS,2027-02,ativo,MARCOS,2026-02-21
7897460401378,OLIGOVIT UP 60CPS,2027-04,ativo,MARCOS,2026-02-21
7899824401048,ZIRVIT MULTI 30CP,2027-02,ativo,MARCOS,2026-02-21
7899824401338,ZIRVIT MULTI MAX 60CPS,2026-10,ativo,MARCOS,2026-02-21
7899824401055,ZIRVIT KIDS 100ML TUTTI FRUTTI,2027-07,ativo,MARCOS,2026-02-21
7899824400201,ZIRVIT BABY 30ML TUTTI FRUTTI,2027-05,ativo,MARCOS,2026-02-21
7899824401246,ZINQUEL 5MG/ML SUSP ORAL 60ML COCO,2027-05,ativo,MARCOS,2026-02-21
7896920301340,POLITABS KIDS 240ML,2027-03,ativo,MARCOS,2026-02-21
7896004700502,APEVITIN BC 4MG 240ML XPE,2027-08,ativo,MARCOS,2026-02-21
7908738907208,BEM VITA BC KIDS SABOR UVA 240ML,2027-08,ativo,MARCOS,2026-02-21
7897947614673,LAVITAN INFANTIL 240ML TUTTI FRUTTI,2027-04,ativo,MARCOS,2026-02-21
7896009499012,CENTRUM ESSENCIAL 30CP,2026-10,ativo,MARCOS,2026-02-21
7896009498176,CENTRUM SELECT HOMEM 30CP,2027-07,ativo,MARCOS,2026-02-21
